Fecha ;PM10;PM2-5;Velo-viento;Precipitacion;Direccion ;O3;CO;NO;NO2;NOX;SO2;Temperatura ;Radicacion ;HT
1/01/2023 1:00;42;36;0,3;0;283;1,4;0,7;6,5;16,4;22,8;0;12,2;0;86,94
1/01/2023 2:00;55;38;0,5;0;294;4;0,5;2,8;9,6;12,5;0;12;0;86,97
1/01/2023 3:00;50;32;0,4;0;321;2;0,5;4,9;8,7;13,6;0;11,3;0;86,58
1/01/2023 4:00;48;40;0,3;0;303;1,9;0,4;3;6,9;9,8;0;11,3;0;86,76
1/01/2023 5:00;48;39;0,3;0;345;1,2;0,5;8,9;6,5;15,3;0;10,9;0;86,68
1/01/2023 6:00;43;38;0,3;0;262;1;0,4;4,7;6,1;10,8;0;11,2;0;86,93
1/01/2023 7:00;44;31;0,3;0;317;1,4;0,5;10;5,8;15,8;0;11,1;13;86,77
1/01/2023 8:00;41;32;0,3;0;309;5,5;0,5;10,2;4,5;14,7;0;12,9;165;87,63
1/01/2023 9:00;62;49;1,1;0;330;17,3;0,3;3;2,8;5,9;0;15,8;387;79,48
1/01/2023 10:00;58;49;1,2;0;346;20,7;0,2;1,2;2;3,2;0;16,6;189;67,03
1/01/2023 11:00;31;27;0,7;0;357;24,7;0,1;0;0;0;0;19,5;363;56,31
1/01/2023 12:00;20;14;1,2;0;57;25,4;0,1;0;0;0;0;21,6;515;43,63
1/01/2023 13:00;23;12;1,1;0;58;26,6;0,1;0;0;0;0;22,2;505;41,86
1/01/2023 14:00;20;11;1,5;0,1;306;29,8;0,1;0;0;0;0;22,5;555;37,22
1/01/2023 15:00;19;8;3,5;0;272;33,8;0,1;0;0;0;0;20,9;448;47,36
1/01/2023 16:00;20;20;3,3;0;267;31,6;0,1;0;0;0;0;20;354;53,06
1/01/2023 17:00;31;16;1,6;0;231;28,2;0,1;0,2;0,5;0,7;0;17,5;77;60,4
1/01/2023 18:00;20;17;1;0,2;193;24,9;0,1;0;1,3;1,2;0;15,6;0;66,95
1/01/2023 19:00;24;11;0,9;0,4;203;18,6;0,2;0,4;4,2;4,6;0;14,1;0;76,01
1/01/2023 20:00;27;11;0,6;3,3;125;15,2;0,2;1,5;4,9;6,5;0;13,1;0;77,91
1/01/2023 21:00;20;15;0,6;2,2;209;12,5;0,3;2,2;9,1;11,3;0;12,6;0;82,62
