Fecha;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;O3;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR
01-01-2023 01:00;0;41,8;0,7;0;223;0;0,5;3,3;23,8;27;0,1;0;0;0
01-01-2023 02:00;35,6;28,4;0,6;0;223;0;0,5;3,3;22,8;26,1;0,1;0;0;0
01-01-2023 03:00;47;29,8;0,6;0;229;0;0,4;3,1;22;25,1;0,1;0;0;0
01-01-2023 04:00;43,7;32;0,7;0;289;0;0,5;3,3;22,5;25,8;0,1;0;0;0
01-01-2023 05:00;46,5;34,4;0,5;0;271;0;0,5;3,6;22;25,7;0,1;0;0;0
01-01-2023 06:00;41,8;41,8;0,8;0;320;0;0,5;4;21,3;25,3;0,1;0;0;0
01-01-2023 07:00;48,7;38,5;0,7;0;300;0;0,5;4,2;20,1;24,3;0,1;0;32;0
01-01-2023 08:00;49,5;43,7;1,1;0;341;0;0,4;5,2;20,3;25,5;0,2;0;203;0
01-01-2023 09:00;37,6;37,6;1,2;0;329;0;0,4;4;22,4;26,4;0,1;0;422;0
01-01-2023 10:00;32,8;28,1;1,6;0;354;0;0,3;2,7;23,4;26,1;0;0;276;0
01-01-2023 11:00;24;20,7;2,2;0;108;0;0,3;2,2;23,5;25,7;0,1;0;560;0
01-01-2023 12:00;17,4;14,7;1,7;0;130;0;0,3;2,1;23,2;25,2;0,1;0;650;0
01-01-2023 13:00;15,6;10,5;1,8;0;125;0;0,2;2,2;22,7;24,9;0,1;0;576;0
01-01-2023 14:00;22,2;10;1,6;0;242;0;0,2;2;23,4;25,4;0,2;0;611;0
01-01-2023 15:00;26,4;18,4;2,8;0;279;0;0,3;1,2;23,5;24,7;0,2;0;345;0
01-01-2023 16:00;25,6;18,5;3;0;267;0;0,2;0,8;22,1;22,8;0,1;0;159;0
01-01-2023 17:00;0;23,5;2,5;0,1;224;0;0,3;0,7;21,3;22;0,2;0;32;0
01-01-2023 18:00;0;20,3;1,3;0,5;245;0;0,3;0,8;19,8;20,6;0,2;0;3;0
01-01-2023 19:00;0;23,6;1,5;1;231;0;0,3;1;19,6;20,6;0,1;0;0;0
01-01-2023 20:00;0;25,3;1,1;1,5;252;0;0,3;1,2;20,2;21,3;0;0;0;0
01-01-2023 21:00;0;19,2;0,8;2,6;242;0;0,3;1,5;19,9;21,4;0;0;0;0
01-01-2023 22:00;0;16,5;0,6;0,5;212;0;0,3;1,8;21,1;22,9;0;0;0;0
01-01-2023 23:00;0;16,5;0,4;0,1;239;0;0,3;2,3;22,7;25;0;0;0;0
01-01-2023 24:00;0;12,1;0,5;0;255;0;0,3;2,7;22,3;25;0,1;0;0;0
02-01-2023 01:00;0;9,4;0,6;0;276;0;0,4;4,5;23,4;27,9;0,1;0;0;0
02-01-2023 02:00;8,8;6,9;0,7;0;287;0;0,4;5,2;22,7;27,9;0,1;0;0;0
02-01-2023 03:00;9;9;1;0;299;0;0,3;4,8;21,2;25,9;0,1;0;0;0
02-01-2023 04:00;9,9;9;0,9;0;280;0;0,3;3,8;19,1;22,9;0,1;0;0;0
02-01-2023 05:00;8,2;7,1;0,8;0;283;0;0,3;3,4;19,2;22,6;0;0;0;0
