PM10;PM2.5;OZONO;CO;NO2;SO2
42;36;1,4;0,7;16,4;0
55;38;4;0,5;9,6;0
50;32;2;0,5;8,7;0
48;40;1,9;0,4;6,9;0
48;39;1,2;0,5;6,5;0
43;38;1;0,4;6,1;0
44;31;1,4;0,5;5,8;0
41;32;5,5;0,5;4,5;0
62;49;17,3;0,3;2,8;0
58;49;20,7;0,2;2;0
31;27;24,7;0,1;0;0
20;14;25,4;0,1;0;0
23;12;26,6;0,1;0;0
20;11;29,8;0,1;0;0
19;8;33,8;0,1;0;0
20;20;31,6;0,1;0;0
31;16;28,2;0,1;0,5;0
20;17;24,9;0,1;1,3;0
24;11;18,6;0,2;4,2;0
27;11;15,2;0,2;4,9;0
20;15;12,5;0,3;9,1;0
14;13;9,3;0,4;10,5;0
20;12;1,5;0,5;14;0
20;11;1,9;0,4;10,9;0
17;14;0,8;0,4;11,1;0
24;11;2,6;0,3;8;0
13;9;2,8;0,2;9,6;0
26;13;1,2;0,2;9,8;0
22;10;1;0,2;7,9;0
26;6;0,6;0,5;8,1;0
31;12;0,8;0,5;9,6;0
29;16;10,7;0,4;9,5;0
36;15;0;0,3;8;0
35;19;0;0,1;0,9;0
13;10;0;0,1;3,7;0
27;11;0;0,1;1,8;0
16;10;0;0,1;0,5;0
19;9;0;0,1;0;0
21;6;0;0,1;0;0
17;5;0;0,1;0;0
16;10;15,8;0,3;12,4;0
33;8;10,7;0,4;15,4;0
25;16;11,3;0,3;13,1;0
23;12;7,9;0,3;16,1;0
20;11;1,2;0,7;21,6;0
27;9;0,8;0,7;20,7;0
30;21;0,6;0,5;20,8;0
34;22;0,7;0,5;20,9;0
25;19;0,5;0,4;18;0
33;19;0,5;0,5;16,6;0
35;24;0,5;0,4;14,1;0
29;17;0,6;0,4;11,1;0
39;18;0,4;0,5;11,1;0
28;25;0,6;0,5;10,5;0
32;16;0,8;0,7;8,8;0
37;27;2;0,9;12,1;0
42;26;7,9;0,4;13;0
41;20;19,8;0,2;6;0
23;11;28,5;0,2;4,8;0
29;17;30,6;0,1;1,6;0
22;4;23,6;0,1;0;0
15;5;24,7;0,1;1,2;0
15;3;25,1;0,1;0,9;0
17;3;23,2;0,1;0;0
