Fecha ;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;O3;CO;NO;NO2;NOX;SO2 ;Temperatura;Radiacion ;HR;Presion Baro
01-01-2024 01:00;31;31;1,1;0;128;0;0,5;5;12,9;17,9;0;13,7;0;81;565
01-01-2024 02:00;0;60;1,1;0;157;0;0,6;9,1;14,7;23,8;0;13,2;0;81;565
01-01-2024 03:00;0;57;0,9;0;188;0;0,7;17;16,2;33,2;0;12,6;0;83;564
01-01-2024 04:00;51,1;45;0,7;0;190;0;0,5;5,7;12;17,7;0;13,2;0;82;564
01-01-2024 05:00;49,5;31;0,8;0;195;0;0,5;7,3;12,7;20,1;0;13,2;0;80;564
01-01-2024 06:00;40,8;36;1,3;0;295;0;0,5;5,1;11;16,1;0;12,5;0;79;565
01-01-2024 07:00;32,5;20;0,9;0;339;0;0,4;7,3;9,4;16,7;0;12,3;0;77;565
01-01-2024 08:00;28,3;12;1,2;0,1;286;0;0,4;9,1;8,5;17,6;0;14,4;0;69;565
01-01-2024 09:00;28,9;18;1,1;0;203;0;0,4;8,8;8,2;17;0;19,4;0;52;566
01-01-2024 10:00;20,8;18;0,5;0;265;0;0,3;6,1;5,8;11,9;0;21,3;0;46;566
01-01-2024 11:00;15,5;9;2;0;359;0;0,2;4,2;2,3;6,5;0;20,2;0;48;565
01-01-2024 12:00;12;12;2,4;0;117;0;0,2;4,1;1,8;5,8;0;21,5;0;43;565
01-01-2024 13:00;9;9;1;0;149;0;0,2;4,1;1,9;5,9;0;24,2;0;37;565
01-01-2024 14:00;6,1;5;1,3;0;168;0;0,2;4,1;1,8;6;0;24,7;0;33;564
01-01-2024 15:00;6;6;1,6;0;332;0;0,3;4,3;5,3;9,6;0;22,5;0;42;563
01-01-2024 16:00;0;11;2,9;0;307;0;0,4;5;7,9;12,9;0;21,7;0;52;563
01-01-2024 17:00;0;18;1,6;0;8;0;0,3;4,4;7,3;11,7;0;19,7;0;57;563
01-01-2024 18:00;0;21;2,3;0;264;0;0,4;4,9;11,3;16,2;0;17,3;0;65;563
01-01-2024 19:00;23,4;20;1,4;0;255;0;0,5;4,6;16;20,5;0;16,1;0;71;564
01-01-2024 20:00;27;27;2,1;0;286;0;0,5;6,3;20,4;26,7;0;15,8;0;72;564
01-01-2024 21:00;31;21;1,2;0;147;0;0,5;5,7;18,2;23,9;0;15;0;75;565
01-01-2024 22:00;22,3;19;1,5;0;5;0;0,6;7,7;22,8;30,6;0;14,4;0;78;565
01-01-2024 23:00;36;22;1;0;334;0;0,6;9,8;21,7;31,5;0;14,2;0;78;565
01-01-2024 24:00;25,6;10;1,2;0;17;0;0,5;15,6;23,1;38,7;0;14,4;0;78;565
02-01-2024 01:00;22,8;16;1,6;0;70;0;0,6;12,7;23,4;36,1;0;14,3;0;78;565
02-01-2024 02:00;25,8;22;1,7;0;133;0;0,6;16;25,1;41;0;14,1;0;79;564
02-01-2024 03:00;36,8;25;1,4;0;208;0;0,5;13,4;19,5;32,9;0;14,1;0;76;564
02-01-2024 04:00;28,6;25;1,1;0;231;0;0,4;9;16,8;25,9;0;13;0;72;564
02-01-2024 05:00;29,4;16;1,2;0;220;0;0,4;14,6;15,7;30,3;0;12,3;0;71;564
02-01-2024 06:00;23,8;18;0,8;0;238;0;0,7;35,3;17,9;53,2;0;11,7;0;73;564
02-01-2024 07:00;31,2;21;0,8;0;271;0;1,2;73,6;22,3;95,9;0;12,4;0;72;565
02-01-2024 08:00;31,8;31;1,3;0;352;0;0,9;43,7;15,6;59,2;0;14,7;0;64;565
02-01-2024 09:00;29,9;21;0,7;0;90;0;0,3;7,6;5,7;13,3;0;18,3;0;53;565
02-01-2024 10:00;21,6;16;2,2;0;43;0;0,2;6,6;3,9;10,6;0;20,2;0;45;565
02-01-2024 11:00;29,7;18;1,8;0;33;0;0,3;6;4,4;10,4;0;22,3;0;38;565
02-01-2024 12:00;22,4;9;0,9;0;62;0;0,3;7,1;7,1;14,1;0;22,3;0;37;564
