PM10;PM2-5;O3;CO;NO2;SO2
0;43;9,1;0,4;7,4;0,4
39;39;10,4;0,4;7,2;0,4
40,5;29;9,7;0,4;6,4;0,3
35,9;23;7,8;0,4;5,6;0,4
41,4;18;8;0,3;4,5;0,3
32,5;24;5,7;0,5;9,4;0,4
0;48;2,4;0,7;11,5;0,5
59,5;53;6,1;0,6;7,9;2,2
41,6;37;16,8;0,4;4,8;1,7
30,2;26;22,6;0,3;2,9;0,8
25,2;14;22,6;0,3;1,9;0,3
19,6;10;23,8;0,2;1,4;0,1
34,7;8;24,2;0,2;1,5;0
31,9;8;26,2;0,2;1,7;0,1
29,5;20;27,9;0,3;1,7;0,2
21,5;14;24,7;0,3;1,2;0,1
14,8;13;23,9;0,3;1,3;0,1
11,5;10;22,3;0,2;1,1;0,1
9,6;6;19,5;0,2;1;0
10;10;15,4;0,4;5,6;0
11,5;8;13,8;0,3;6,2;0
14,9;6;11,4;0,4;8,5;0
16,8;9;9,5;0,3;12,3;0
12,7;6;3,3;0,4;15,3;0,2
10,1;6;2,5;0,4;14,6;0,5
12;12;2,6;0,4;13,6;0,5
10;10;4,2;0,4;11,4;0,4
21,2;7;3,9;0,4;10,3;0,4
15,8;7;2,9;0,4;14;0,4
11,7;8;5,9;0,3;9,2;0,3
11;6;3,4;0,4;14,1;0,5
20,6;10;4,8;0,4;12,6;1,5
16;16;10,8;0,4;7,5;2,4
25,7;13;14,5;0,3;5,7;1,2
25,4;13;21,6;0,3;4,6;0,5
18,8;16;28;0,3;4,3;0,4
28,2;9;30,1;0,3;2,5;0,3
20,6;6;27,2;0,3;2,1;0,2
14,5;8;24,2;0,3;1,4;0,1
11,9;8;23,8;0,3;2,4;0,2
15,8;9;20,9;0,4;7,4;0,4
13,9;7;20,1;0,3;5,5;0,3
11,3;5;16,6;0,4;9,8;0,3
15,3;13;12,1;0,5;16,3;0,5
0;21;6,4;0,6;22,4;1
20,3;15;5,6;0,6;20,2;1,8
17,2;15;7,6;0,5;15,8;1,9
23,5;9;6,8;0,4;17,1;2,1
20,2;17;3,5;0,5;20,9;1,5
23,6;14;2,3;0,5;18,7;1,3
21,8;13;3,2;0,4;15,7;1,5
21,1;11;3,3;0,4;14,1;1,2
22,3;13;1,3;0,4;14,1;1,1
37,4;24;0,7;0,9;16,1;1,1
47;17;1,1;0,8;14,1;1
59;25;2,3;0,8;16,2;3,1
50,4;16;11,8;0,4;7,8;3,6
39,3;15;16,3;0,4;9,2;2,5
44,4;17;22,4;0,4;7,9;1,1
31,1;7;21,8;0,3;2,7;0,5
39,2;3;20;0,2;1,6;0,3
29,6;1;20,2;0,2;1;0,1
23,5;1;20,1;0,2;1;0,1
17,6;1;18,9;0,2;1,3;0
12,8;4;17,2;0,3;1,6;0,1
8,9;4;14,8;0,4;8,3;0,2
7,7;6;6;0,6;20,8;0,3
19,6;10;4,5;0,5;19;0,3
23;15;1,5;0,6;23,8;0,4
20,9;9;0,9;0,5;16,8;0,7
18,2;8;0,7;0,5;15,7;0,6
17,1;9;2,6;0,4;13,9;0,5
16,8;12;1,8;0,6;16,7;1,2
20,4;7;1,6;0,5;16,2;1,4
20,7;7;1,7;0,4;15,8;2,3
19,8;11;1,4;0,5;16,2;3,4
16,8;16;0,9;0,5;17,4;4,7
17,1;7;1,6;0,4;13,1;1,9
33,7;12;1,3;0,6;14,4;1,5
35,5;23;2,5;0,6;12,4;3,4
47,9;20;8,3;0,6;11,9;2,7
46,6;11;13,3;0,4;9,8;1,4
33,6;13;18,7;0,4;6,2;0,9
24,5;13;22,7;0,4;5,2;0,7
28,4;7;23,1;0,3;2,1;0,6
36,3;5;22,6;0,3;2;0,5
26,4;10;20,6;0,3;1,8;0,6
19,5;6;18,7;0,3;2,2;0,7
14,2;3;18,5;0,3;1,4;0,6
10,7;4;16,7;0,3;1,7;0,5
10,5;7;15,2;0,4;4,2;0,5
14,1;10;13,5;0,4;11,3;0,6
15,6;11;7,5;0,5;14,5;0,6
22,2;14;3,9;0,6;17,4;0,8
31,9;21;1,5;0,7;18,7;1
30,9;17;1,5;0,5;14,1;1
42,5;17;0,7;0,5;14,6;1,1
30,1;14;0,7;0,6;18;1
30,8;10;0,7;0,5;15,6;1,1
21,9;11;1,7;0,4;16;1,2
35,8;7;3,7;0,3;15,5;0,9
25,9;10;1,3;0,4;15,2;0,8
26,5;17;1,3;0,6;15,7;0,8
24,2;16;5,7;0,5;10,7;1,1
37,4;11;14,1;0,4;9,1;0,6
44,6;11;17,6;0,3;5,6;0,5
31,6;9;21,7;0,3;5,1;0,5
22,2;9;22,6;0,3;5,9;0,6
29,7;8;21,7;0,4;7,3;0,5
36,4;15;23,3;0,3;4,5;0,6
37,1;11;22,8;0,3;5;0,7
26,8;13;18,8;0,4;6;0,7
21,5;9;15,6;0,4;7,1;0,6
18,1;16;13;0,5;10,1;0,4
25,6;16;9,1;0,5;14,7;0,5
40,1;17;3,8;0,5;17,9;0,6
46,2;20;6,6;0,4;15;0,6
32,5;23;8,6;0,4;11,6;0,7
35,6;21;4,5;0,4;14,4;2,4
32,5;21;1,3;0,5;19,7;3
25,2;17;2,4;0,4;14,7;3,5
22,2;18;2,3;0,4;14,8;1,9
28,1;8;1,2;0,4;15,2;1,5
29,7;13;2,5;0,4;15,6;2,8
36,6;16;1,1;0,4;18;3,3
42,4;22;0,7;0,5;16,4;3,3
47,2;25;1,3;0,5;15,5;3,1
66,6;26;5,2;0,5;10,9;4,1
55,4;20;7,4;0,5;14,4;2
49;25;13,7;0,6;14,1;1,2
50,3;15;20;0,4;9;0,7
44,9;19;21,3;0,3;5,5;0,8
49,1;13;22,9;0,3;5;0,6
