Fecha ;PM10;PM2-5;Velo-viento;Precipitacion;Direccion ;O3;CO;NO;NO2;NOX;SO2;Temperatura ;Radicacion ;HT
1/01/2023 1:00;0;43;0,4;0;260;9,1;0,4;0,2;7,4;7,6;0,4;11,6;0;0
1/01/2023 2:00;39;39;0,4;0;279;10,4;0,4;0,1;7,2;7,3;0,4;11,6;0;0
1/01/2023 3:00;40,5;29;0,4;0;315;9,7;0,4;0,3;6,4;6,7;0,3;11,6;0;0
1/01/2023 4:00;35,9;23;0,5;0;340;7,8;0,4;0,3;5,6;5,9;0,4;11,3;0;0
1/01/2023 5:00;41,4;18;0,5;0;339;8;0,3;0,2;4,5;4,7;0,3;11,3;0;0
1/01/2023 6:00;32,5;24;0,7;0;53;5,7;0,5;5,2;9,4;14,6;0,4;11,3;0;0
1/01/2023 7:00;0;48;0,5;0;17;2,4;0,7;7,2;11,5;18,7;0,5;11;0;0
1/01/2023 8:00;59,5;53;0,7;0;12;6,1;0,6;7,2;7,9;15,1;2,2;12;0;0
1/01/2023 9:00;41,6;37;1,3;0;347;16,8;0,4;2,6;4,8;7,4;1,7;15,9;0;0
1/01/2023 10:00;30,2;26;1,8;0;16;22,6;0,3;0,9;2,9;3,8;0,8;17,5;0;0
1/01/2023 11:00;25,2;14;1,6;0;42;22,6;0,3;0,7;1,9;2,6;0,3;18,6;0;0
1/01/2023 12:00;19,6;10;1,2;0;30;23,8;0,2;0,4;1,4;1,9;0,1;21,4;0;0
1/01/2023 13:00;34,7;8;1,3;0;51;24,2;0,2;0,5;1,5;2;0;21,6;0;0
1/01/2023 14:00;31,9;8;0,6;0;310;26,2;0,2;0,5;1,7;2,2;0,1;21,8;0;0
1/01/2023 15:00;29,5;20;2,2;0;263;27,9;0,3;0,2;1,7;1,9;0,2;21,6;0;0
1/01/2023 16:00;21,5;14;1,9;0;253;24,7;0,3;0,2;1,2;1,4;0,1;20,4;0;0
1/01/2023 17:00;14,8;13;1,8;0;248;23,9;0,3;0,1;1,3;1,4;0,1;16,7;0;0
