PM10;PM2-5;O3;CO;NO2;SO2
47;37;25,9;0,4;11,5;0,6
28,8;27;17,8;0,5;13,9;0,8
37;29;24,5;0,4;12,1;0,7
43,3;33;11,8;0,5;13,2;0,6
40,2;30;10,3;0,5;12,9;0,7
42,4;41;12;0,5;14,4;0,9
42,7;37;7,4;0,6;11,9;0,8
40,7;28;21,7;0,3;6,7;0,7
24,4;16;31,1;0,3;5,1;0,5
24,4;23;37;0,2;2,7;0,6
21,2;18;35,5;0,2;2,3;0,5
16,6;2;35,6;0,2;2;0,7
17,1;6;35,9;0,2;2,1;0,6
13,4;8;40,1;0,2;2,2;0,6
16,5;11;58,8;0,3;5,7;0,8
41,6;28;53,7;0,3;5,3;0,9
33,4;27;40,3;0,5;10,3;0,9
38;38;31,9;0,5;13,1;0,8
32,2;32;27,2;0,5;11,9;0,7
30,5;20;22,7;0,5;15,3;0,6
21;16;24,9;0,4;10,5;0,5
0;17;28,2;0,3;8,4;0,5
10;10;22,2;0,3;8,1;0,6
22;11;20;0,3;6,9;0,5
10;10;25,8;0,2;2,8;0,6
9;9;23,6;0,2;2,5;0,7
9,2;7;16,5;0,2;3,5;0,6
9,9;3;10,6;0,3;4,9;0,7
9,6;1;7,1;0,3;7,5;0,7
8,5;2;2,5;0,5;11,8;1
19,8;6;3,1;0,5;12,7;0,9
18,8;9;6,6;0,5;10,9;0,8
20,3;7;13,4;0,5;12,8;0,7
22,3;10;16,5;0,4;11,3;0,8
24,5;13;26,5;0,4;9;0,8
20,3;13;40,3;0,3;5,7;0,6
19;19;56,8;0,3;8;0,5
24;12;52,5;0,3;8,1;0,8
32;10;44,3;0,3;7,5;1
35,8;11;31,1;0,5;14,6;0,9
21,7;16;28;0,6;14,4;0,8
17,5;16;14,6;0,7;18,5;1
21,2;15;18,1;0,5;14,9;0,6
17,6;14;4;0,7;26,7;0,9
21,5;15;3,2;0,8;23,9;1
15;15;8,3;0,6;16,9;0,8
27,8;19;11,4;0,5;13,9;0,7
19;19;1,4;0,6;22,4;0,5
20,7;16;4,1;0,5;15,6;0,6
28,6;9;9,5;0,4;10;0,7
20,3;11;6,7;0,4;12;0,8
