Fecha ;PM10;PM2-5;Velo-viento;Precipitacion;Direccion ;O3;CO;NO;NO2;NOX;SO2;Temperatura ;Radicacion ;HT;Radicacion ;HT
1/01/2023 1:00;47;37;1;0;184;25,9;0,4;0,5;11,5;12;0,6;12,1;0;0;;
1/01/2023 2:00;28,8;27;0,1;0;240;17,8;0,5;1,4;13,9;15,3;0,8;11,8;0;0;;
1/01/2023 3:00;37;29;0,7;0;298;24,5;0,4;0,4;12,1;12,5;0,7;11,7;0;0;;
1/01/2023 4:00;43,3;33;0,4;0;305;11,8;0,5;1,9;13,2;15,1;0,6;11,4;0;0;;
1/01/2023 5:00;40,2;30;0,5;0;184;10,3;0,5;1,9;12,9;14,9;0,7;11,4;0;0;;
1/01/2023 6:00;42,4;41;0,6;0;315;12;0,5;1,2;14,4;15,6;0,9;11,4;0;0;;
1/01/2023 7:00;42,7;37;0,8;0;117;7,4;0,6;8,5;11,9;20,5;0,8;10,8;0;0;;
1/01/2023 8:00;40,7;28;1,1;0;233;21,7;0,3;2,3;6,7;9;0,7;12,4;0;0;;
1/01/2023 9:00;24,4;16;1;0;333;31,1;0,3;1,9;5,1;7;0,5;16,2;0;0;;
1/01/2023 10:00;24,4;23;0,2;0;71;37;0,2;0,5;2,7;3,1;0,6;17,3;0;0;;
1/01/2023 11:00;21,2;18;2,2;0;119;35,5;0,2;0,5;2,3;2,8;0,5;16,8;0;0;;
1/01/2023 12:00;16,6;2;2,3;0;132;35,6;0,2;0,3;2;2,4;0,7;18,4;0;0;;
1/01/2023 13:00;17,1;6;2;0;151;35,9;0,2;0,7;2,1;2,8;0,6;20,1;0;0;;
1/01/2023 14:00;13,4;8;1,6;0;330;40,1;0,2;0,4;2,2;2,6;0,6;21,1;0;0;;
1/01/2023 15:00;16,5;11;1,5;0;265;58,8;0,3;0,6;5,7;6,2;0,8;18,3;0;0;;
1/01/2023 16:00;41,6;28;1,7;0,3;229;53,7;0,3;0,5;5,3;5,8;0,9;16,6;0;0;;
1/01/2023 17:00;33,4;27;2;10;138;40,3;0,5;1,2;10,3;11,5;0,9;12,9;0;0;;
1/01/2023 18:00;38;38;0,9;7,7;101;31,9;0,5;1;13,1;14,1;0,8;12,9;0;0;;
1/01/2023 19:00;32,2;32;1;7,7;187;27,2;0,5;0,6;11,9;12,5;0,7;12,2;0;0;;
1/01/2023 20:00;30,5;20;0,3;10,9;337;22,7;0,5;1,5;15,3;16,8;0,6;11,9;0;0;;
1/01/2023 21:00;21;16;0,8;2,2;115;24,9;0,4;1,4;10,5;12;0,5;11,2;0;0;;
1/01/2023 22:00;0;17;0,9;0,6;239;28,2;0,3;0,9;8,4;9,4;0,5;11,1;0;0;;
1/01/2023 23:00;10;10;0,9;0,2;136;22,2;0,3;0,9;8,1;8,9;0,6;10,8;0;0;;
2/01/2023 0:00;22;11;0,5;0;133;20;0,3;0,6;6,9;7,5;0,5;10,8;0;0;;
2/01/2023 1:00;10;10;1,3;0;119;25,8;0,2;0,3;2,8;3;0,6;11,1;0;0;;
2/01/2023 2:00;9;9;0,9;0;110;23,6;0,2;0,3;2,5;2,7;0,7;11,1;0;0;;
2/01/2023 3:00;9,2;7;1;0,1;111;16,5;0,2;0,6;3,5;4,1;0,6;10,7;0;0;;
2/01/2023 4:00;9,9;3;0,7;0;118;10,6;0,3;1,5;4,9;6,4;0,7;10,6;0;0;;
2/01/2023 5:00;9,6;1;0,8;0;118;7,1;0,3;5,5;7,5;13;0,7;10,5;0;0;;
2/01/2023 6:00;8,5;2;0,7;0;119;2,5;0,5;21;11,8;32,8;1;10,4;0;0;;
2/01/2023 7:00;19,8;6;0,9;0;2;3,1;0,5;14,6;12,7;27,3;0,9;10,8;0;0;;
2/01/2023 8:00;18,8;9;0,6;0;317;6,6;0,5;11,3;10,9;22,1;0,8;12,2;0;0;;
2/01/2023 9:00;20,3;7;0,9;0;338;13,4;0,5;11,2;12,8;24;0,7;13,4;0;0;;
2/01/2023 10:00;22,3;10;0,7;0;124;16,5;0,4;11,5;11,3;22,8;0,8;14,3;0;0;;
2/01/2023 11:00;24,5;13;1,4;0;129;26,5;0,4;6,3;9;15,3;0,8;15,6;0;0;;
2/01/2023 12:00;20,3;13;1,3;0;88;40,3;0,3;2,9;5,7;8,6;0,6;18,2;0;0;;
